dataset,file,query,ref
ref-Pti1,datasets/alignment-tables/PLE003_to_Pti1.bed,PLE003,Pti1
ref-Pti1,datasets/alignment-tables/PON26_to_Pti1.bed,PON26,Pti1
ref-Pti1,datasets/alignment-tables/PPA_Milo_to_Pti1.bed,PPA_Milo,Pti1
ref-Pti1,datasets/alignment-tables/PUN84_to_Pti1.bed,PUN84,Pti1
ref-PLE003,datasets/alignment-tables/Pti1_to_PLE003.bed,Pti1,PLE003
ref-PLE003,datasets/alignment-tables/PON26_to_PLE003.bed,PON26,PLE003
ref-PLE003,datasets/alignment-tables/PPA_Milo_to_PLE003.bed,PPA_Milo,PLE003
ref-PLE003,datasets/alignment-tables/PUN84_to_PLE003.bed,PUN84,PLE003
Ple1-CLR-comparisons,datasets/alignment-tables/Ple1-CLR_to_PLE003.bed,Ple1,PLE003
Pti1-CLR-comparisons,datasets/alignment-tables/Pti1-CLR_to_Pti1.bed,Pti1-CLR,Pti1
felCat8-comparisons,datasets/alignment-tables/felCat8_to_PLE003.bed,felCat8,PLE003
felCat8-comparisons,datasets/alignment-tables/felCat8_to_Pti1.bed,felCat8,Pti1
